name,actual price,current price,rating,reviews
Redmi Buds 5 Pro Earbuds,"Rs  22,000","Rs  14,550",4.9,9
Xiaomi Buds 5,"Rs  29,499","Rs  25,999",,
Realme Buds Air 2,"Rs  15,000","Rs  9,799",4.7,3
Anker Soundcore A25i Wireless Earbuds,"Rs  5,999","Rs  5,149",,
Lenovo LP10 TWS Wireless Earbuds,"Rs  6,000","Rs  3,599",4.8,35
Haino Teko P5 Bluetooth Earbuds,"Rs  4,000","Rs  2,349",4.0,1
Soundpeats True Capsule 3 Pro Earbuds,"Rs  15,000","Rs  11,649",4.8,34
Dany Airdots 102,"Rs  9,999","Rs  3,749",4.9,28
i12 Tws Touch Sensor Airpods,"Rs  1,700",Rs  949,4.6,51
GravaStar Sirius Pro Earpods,"Rs  4,000","Rs  2,799",,
Pro 6s Tws Bluetooth Earbuds,"Rs  1,799","Rs  1,299",,
G-TIDE BUDS2 PRO,"Rs  6,000","Rs  2,799",,
EarFun Air Pro 2 Wireless Earbuds,"Rs  20,000","Rs  15,199",,
JBL Wave Beam True Wireless Earbuds,"Rs  19,000","Rs  12,299",4.5,2
Soundpeats A6 Wireless Headphone,"Rs  15,000","Rs  12,299",5.0,8
Soundpeats Air 4 Lite Wireless Earphones,"Rs  11,500","Rs  8,949",5.0,1
L-58 pro Tws LCD Wireless Earbuds,"Rs  4,000","Rs  2,999",,
Tronsmart Encore S2 Plus Sport Neckband,"Rs  8,000","Rs  5,799",,
F9 Pro Wireless Bluetooth Earbuds,"Rs  2,399","Rs  1,499",4.5,8
M47 Wireless Earphone Plus Bluetooth Speaker,"Rs  5,800","Rs  3,799",4.5,1
M48 TWS Wireless Bluetooth Earphones Noise Cancelling,"Rs  5,000","Rs  1,899",,
Ronin R-520 Wireless Earbuds,"Rs  8,000","Rs  4,399",4.9,51
Airox E6 Wireless Earbuds,"Rs  5,000","Rs  2,599",,
G-Tide L2 TWS Earbuds,"Rs  4,999","Rs  2,499",4.9,7
