name,actual price,current price,rating,reviews
GTS-2166 Wireless Speaker,"Rs  1,800","Rs  1,099",,
Airox SP04 Portable Bluetooth Speaker,"Rs  5,000","Rs  2,199",,
itel Bluetooth Speaker (S51),"Rs  4,499","Rs  3,799",5.0,1
W-King T8 30W Outdoor Traveler Portable Wireless Bluetooth Speaker With Subwoofer,"Rs  30,000","Rs  26,499",,
LM-890 Mini Audio Sound Bar Subwoofer Portable Speaker,"Rs  4,500","Rs  2,499",,
LM-891 Wireless Bluetooth Speaker Long Bar Subwoofer,"Rs  4,500","Rs  2,499",,
X1 Mini Outdoor Portable Speaker,"Rs  2,000","Rs  1,199",,
KTS 1943 Wireless Speaker With Mic,"Rs  2,800","Rs  1,699",,
KTS-1678 Mini Wireless Speaker,"Rs  2,000","Rs  1,099",,
GTS-1867 Mini Portable 3-Inch Wireless Speaker,"Rs  1,800","Rs  1,099",,
WS858L Wireless Speaker Mic With lights,"Rs  2,000","Rs  1,199",,
itel Sound Super Star (ITL-311K),"Rs  5,999","Rs  4,899",,
Tronsmart Bang SE Portable Bluetooth Speaker,"Rs  29,000","Rs  17,999",,
Joyroom RGB Wireless Speaker (JR-ML05),"Rs  6,500","Rs  5,699",,
W-KING D8 50W Wireless Bluetooth Speaker,"Rs  29,000","Rs  25,499",,
Super Bass W-KING D320 New True 30W Outdoor Wireless Bluetooth Speakers TWS,"Rs  28,000","Rs  24,499",,
Faster RGB Lighting Dual Gaming Wireless Speakers (G2000),"Rs  7,000","Rs  4,999",5.0,1
FASTER Rainbow 4s Portable Wireless Speaker 10w,"Rs  5,999","Rs  5,399",,
Sony Portable Speaker SRS-XB13,"Rs  26,000","Rs  18,499",,
Sound Crush TRIG Lightning Bluetooth Speaker,"Rs  6,500","Rs  3,499",5.0,1
Sound Crush Macaron Bluetooth Speaker,"Rs  4,000","Rs  1,899",,
ZQS301B Multi-Function Flashlight RGB Light Bluetooth Speaker,"Rs  2,000","Rs  1,349",,
Infinix XS01 Pocket Beat Wireless Bluetooth Speaker,"Rs  5,000","Rs  2,699",,
W-KING D8 Mini 30W Portable Speaker,"Rs  20,000","Rs  16,499",,
JDH-126 Solar Wireless Bluetooth Speaker With Flashlight,"Rs  2,500","Rs  1,349",,
Yolo Play 2 YJP-202 Bluetooth Wireless Speaker,,"Rs  1,349",5.0,2
GTS Wireless Bluetooth Speaker (1348),,"Rs  1,299",,
Portable Bluetooth Wireless Speaker (GTS-1205),,"Rs  2,849",5.0,1
NB-101 Tyre shape high sound quality Bluetooth speaker with Tyre Style,"Rs  3,000","Rs  1,899",,
New 4th generation L20 wireless fashion speaker,"Rs  6,000","Rs  4,299",,
Urbano Bluetooth speaker,"Rs  4,000","Rs  2,599",,
L-002 BASS ROUGE Wireless Speaker,"Rs  2,000","Rs  1,299",,
Yolo Play YJP-201 Bluetooth Wireless Speaker,,"Rs  1,399",4.7,9
GTS Wireless Bluetooth Speaker (1347),,"Rs  1,299",,
Zidli D3 LED RGB Bluetooth Speaker,"Rs  5,000","Rs  3,799",,
G2389 Wheel Mini Portable Wireless speaker,"Rs  3,000","Rs  2,299",,
Yolo Pulse Bluetooth Speaker,,"Rs  2,699",4.8,29
Smart Touch Lamp Portable Speaker (CL-671),,"Rs  1,249",5.0,2
Portable Bluetooth Wireless Speaker (KTS-1251),,"Rs  2,399",,
Y1 mini  Speaker Portable Bluetooth without Mic Children's Speaker,"Rs  2,000","Rs  1,499",,
Tronsmart Groove 2 Bluetooth Speaker,"Rs  9,000","Rs  7,449",,
Sound Crush Colorun Bluetooth Speaker,,"Rs  1,999",5.0,2
Portable Bluetooth Radio Speaker (GTS-1661),,"Rs  2,199",,
Portable Bluetooth Radio Speaker (KTF-1668),,"Rs  2,949",4.5,1
Extra Bass Bluetooth Wireless Speaker (GTS-1392),,"Rs  1,649",5.0,2
Extra Bass Bluetooth Wireless Speaker (GTS-1283),,"Rs  2,699",,
Extra Bass Bluetooth Wireless Speaker (GTS-1517),,"Rs  3,099",,
Portable Bluetooth Wireless Speaker (KTX-1205),,"Rs  2,849",5.0,1
Portable Bluetooth Wireless Speaker (KTS-1720),,"Rs  1,399",,
Portable Bluetooth Wireless Speaker (KTS-1093),,"Rs  1,599",,
Portable Bluetooth Wireless Speaker (KTS-1338),,"Rs  1,599",,
Portable Bluetooth Wireless Speaker (KTS-1272),,"Rs  1,649",,
Portable Bluetooth Wireless Speaker (KTS-1211),,"Rs  1,699",,
Airox Portable Bluetooth Wireless Speaker (Extreme),,"Rs  1,899",4.5,9
MI Portable Bluetooth Speaker (16W),,"Rs  11,999",5.0,6
Mi Compact Bluetooth Speaker 2,,"Rs  2,999",4.9,14
JBL Go 4 Bluetooth Speakers,,"Rs  13,499",5.0,1
Tronsmart T7 Mini Portable Speaker,,"Rs  6,149",5.0,1
Lenovo Thinkplus BT K30 Bluetooth Speaker,,"Rs  1,599",4.5,4
itel Bluetooth Speaker (S31),,"Rs  2,899",,
W-KING X10 70W Portable Bluetooth Speaker,,"Rs  36,499",,
Audionic Sugar 40 Speaker,,"Rs  4,449",4.5,2
Audionic Boom Box 102 Speaker With Mic,,"Rs  3,499",,
Faster Bluetooth Lighting Mini Gaming Speaker with Subwoofer (G1000),,"Rs  4,799",5.0,3
Faster SoundBar Wireless (Z5),,"Rs  3,499",5.0,2
Faster Portable Wireless Speaker (CF-03),,"Rs  4,799",,
Joyroom Bluetooth Wireless Speaker (JR-ML01),,"Rs  3,649",5.0,2
Anker Soundcore Glow Portable Speaker,,"Rs  24,999",,
Portable Bluetooth Radio Speaker (KTF-1428),,"Rs  2,849",5.0,1
Portable Bluetooth Wireless RGB Speaker (GTS-1731),,"Rs  1,299",,
Portable Bluetooth Wireless Mini Speaker (GTS-1346),,"Rs  1,149",,
Portable Bluetooth Wireless Mini Speaker (GTS-1372),,"Rs  1,149",5.0,1
Extra Bass Bluetooth Wireless Speaker (GTS-1535),,"Rs  1,649",,
Extra Bass Bluetooth Wireless Speaker (GTS-1187),,"Rs  3,599",,
Extra Bass Bluetooth Wireless Speaker (GTS-1560),,"Rs  2,099",,
Extra Bass Bluetooth Wireless Speaker (GTS-1558),,"Rs  2,099",,
Extra Bass Bluetooth Wireless Speaker (GTS-1571),,"Rs  2,699",,
Portable Bluetooth Wireless Speaker (KTS-1369),,"Rs  1,399",,
Portable Bluetooth Wireless Speaker (KTS-1057),,"Rs  1,299",,
Portable Bluetooth Wireless Speaker (KTS-1080),,"Rs  1,599",,
W-KING T9 80W Loud Bluetooth Speakers With Subwoofer,,"Rs  35,499",,
Audionic Max 350 Bluetooth Plus 2.1 Speaker,,"Rs  7,599",,
Audionic Glow Mobile Speaker,,"Rs  1,199",,
Audionic Lyon Bluetooth Speaker,,"Rs  1,649",4.8,6
JBL GO 3 Portable Bluetooth Speaker,,"Rs  9,899",4.8,8
JBL Flip 6 Portable Bluetooth Speaker,,"Rs  27,799",,
Faster SoundBar Wireless Speaker (Z10),,"Rs  5,899",4.9,9
Anker Soundcore Motion 300 30W Wireless Speaker,,"Rs  25,499",,
LOGIN LT-SP10 Sound Junction Bluetooth Wireless Speakers,,"Rs  1,949",,
LOGIN LT-SP25 Music Box Bluetooth Wireless Speaker,,"Rs  1,899",4.0,1
Portable Bluetooth Wireless Mini Speaker (GTS-1373),,"Rs  1,249",,
Extra Bass Bluetooth Wireless Speaker (GTS-1345),,"Rs  1,149",,
Extra Bass Bluetooth Wireless Speaker (GTS-1361),,"Rs  1,249",,
Portable Bluetooth Wireless Speaker (GTS-1362),,"Rs  1,249",5.0,2
Extra Bass Bluetooth Wireless Speaker (GTS-1525),,"Rs  1,499",,
Extra Bass Bluetooth Wireless Speaker (GTS-1386),,"Rs  1,299",,
Extra Bass Bluetooth Wireless Speaker (GTS-1567),,"Rs  4,699",,
Portable Bluetooth Wireless Speaker (KTS-1370),,"Rs  1,299",5.0,1
Portable Bluetooth Wireless Speaker (KTS-1186),,"Rs  1,799",,
itel Sound Star ll (ITL-ZBS304),,"Rs  2,349",,
Yolo Buddy Bluetooth Speaker,,"Rs  2,099",4.9,11
Infinix Beat Bluetooth Speaker,,"Rs  3,049",,
W-KING D10 70W Portable Bluetooth Speaker,,"Rs  38,499",,
Login LT-X Series Bluetooth Speaker,,"Rs  4,199",,
Tergoo M5 Wireless Bluetooth Speaker,,"Rs  3,849",,
Extra Bass Bluetooth Wireless Speaker (GTS-1375),,"Rs  1,249",5.0,1
Extra Bass Bluetooth Wireless Speaker (GTS-1173),,"Rs  1,249",,
Extra Bass Bluetooth Wireless Speaker (GTS-1389),,"Rs  1,499",,
Extra Bass Bluetooth Wireless Speaker (GTS-1191),,"Rs  2,399",5.0,2
Portable Bluetooth Wireless Speaker (KTX-1433),,"Rs  2,099",,
Portable Bluetooth Wireless Speaker (KTX-1286),,"Rs  3,299",,
Portable Bluetooth Wireless Speaker (KTS-1183),,"Rs  1,449",,
Portable Bluetooth Wireless Speaker (KTS-1085),,"Rs  1,549",4.0,3
G shaped Lamp - Bluetooth Speaker- Wireless Charger,,"Rs  2,499",,
Airox Portable Bluetooth Wireless Speaker (HY3),,"Rs  1,549",4.7,8
Anker Soundcore Flare Mini Bluetooth Speaker,,"Rs  10,999",,
Anker Motion X600 Portable Bluetooth Speaker,,"Rs  56,499",,
Audionic Hummer H9 Bluetooth Speaker,,"Rs  5,299",,
Audionic Boss 2 Mobile Speaker,,"Rs  1,249",5.0,6
Audionic Boom Box 101 Speaker With Mic,,"Rs  3,499",,
Login LT-SB20 Sound Bar,,"Rs  4,599",,
Portable Bluetooth Wireless Speaker (GTS-1222),,"Rs  2,499",,
Portable Bluetooth Wireless Speaker (GTS-1700),,"Rs  3,499",,
Portable Bluetooth Wireless Speaker (KTX-1526),,"Rs  2,149",,
Portable Bluetooth Wireless Speaker (KTX-1203),,"Rs  3,199",,
Portable Bluetooth Wireless Speaker (KTX-1285),,"Rs  3,299",,
Portable Bluetooth Wireless Speaker (KTS-1092),,"Rs  1,299",,
Portable Bluetooth Wireless Speaker (KTS-1371),,"Rs  1,649",,
itel TV Plus Mini Soundbar (ITL-SB310),,"Rs  3,099",4.5,1
1Hora Wireless Bluetooth Speaker V8,,"Rs  3,699",,
W-KING T11 100W Wireless Bluetooth Speakers With Deep Bass,,"Rs  65,499",,
Anker SoundCore Flare 2 Bluetooth Speaker,,"Rs  18,999",4.8,4
Audionic Fendi Bluetooth speaker,,"Rs  1,799",4.7,2
JBL Charge 5 Portable Bluetooth Speaker,,"Rs  39,999",5.0,3
Tronsmart T7 Bluetooth Speaker,,"Rs  13,999",5.0,1
JBL Go Essential Portable Bluetooth Speaker,,"Rs  8,299",,
Tronsmart Trip Bluetooth Speaker,,"Rs  5,649",,
AOMAIS GO Bluetooth Portable Speaker 30W  Wireless Stereo,,"Rs  5,299",,
Baseus AeQur DS10 Mini Soundbar Cluster Black,,"Rs  8,549",,
Tronsmart Element T2 Plus Bluetooth speaker,,"Rs  11,099",5.0,1
Tronsmart Bang Mini Portable Bluetooth Speaker,,"Rs  23,399",,
JBL Xtreme 3 Portable Bluetooth Speaker,,"Rs  74,999",,
Tronsmart T2 Mini Portable Speaker,,"Rs  5,399",5.0,1
Anker Soundcore Icon Mini Bluetooth Speaker,,"Rs  10,399",5.0,1
INTERSTEP BT Portable Bluetooth Speaker,,Rs  999,5.0,1
L-003 BASS ROUGE Wireless Speaker,,"Rs  1,500",,
Sound Beam Bluetooth Speaker (R-7500),,"Rs  4,325",,
Audionic Bluetooth Mobile Speaker (BT-110),,"Rs  1,180",,
MI Bluetooth Speaker Mini,,"Rs  2,500",,
Mi Portable TWS Bluetooth Speaker,,"Rs  4,300",,
