name,actual price,current price,rating,reviews
Infinix GT 20 Pro,"Rs  99,999","Rs  88,499",4.7,28
VGO TEL i10,,"Rs  3,849",5.0,2
Calme Ultra Slim,,"Rs  2,999",1.0,1
Calme 4G Super,,"Rs  6,399",,
Calme CL251,"Rs  3,399","Rs  2,799",,
ZTE Blade A55,"Rs  20,999","Rs  17,999",4.8,10
Samsung Galaxy S24 Ultra,"Rs  469,999","Rs  404,999",4.8,45
Calme M17,,"Rs  2,675",,
Oppo A60,"Rs  54,999","Rs  50,300",4.8,5
Infinix Hot 20i,"Rs  47,499","Rs  25,499",4.9,50
Infinix Hot 20i,"Rs  47,499","Rs  25,499",4.9,50
VGO TEL i10,,"Rs  3,849",5.0,2
Calme Ultra Slim,,"Rs  2,999",1.0,1
Calme 4G Super,,"Rs  6,399",,
Calme CL251,"Rs  3,399","Rs  2,799",,
ZTE Blade A55,"Rs  20,999","Rs  17,999",4.8,10
Calme M17,,"Rs  2,675",,
Samsung Galaxy S24 Ultra,"Rs  469,999","Rs  404,999",4.8,45
Vivo V40e,"Rs  99,999","Rs  89,999",5.0,3
VGO TEL i15,,"Rs  4,349",,
Sparx Neo 7 Pro,"Rs  27,499","Rs  18,999",4.9,25
Sparx Neo X,"Rs  31,999","Rs  19,299",4.7,72
Calme Ultra Lite S,,"Rs  2,899",5.0,1
E-Tachi E8 Classic,,"Rs  3,649",5.0,1
FAYWA SMART 1,"Rs  4,199","Rs  3,549",5.0,1
Apple iPhone 16 Pro,"Rs  460,000","Rs  436,999",,
Itel It2176,,"Rs  3,199",4.8,5
Samsung Galaxy Z Flip 6,"Rs  384,999","Rs  333,999",5.0,1
Calme M16,,"Rs  2,399",,
Digit Infinity,"Rs  22,999","Rs  13,349",4.9,56
Club Mobile A90+,"Rs  3,099","Rs  2,969",,
Realme 12 4G,"Rs  59,999","Rs  54,199",5.0,5
QMobile QSmart 8,"Rs  18,999","Rs  18,199",5.0,4
Sparx Neo 8 Pro,"Rs  23,499","Rs  22,999",5.0,5
E-tachi E9 Metal,"Rs  3,500","Rs  3,299",,
Faywa Smart 2,"Rs  3,949","Rs  3,699",5.0,1
XSmart Nova 7,"Rs  20,499","Rs  19,999",5.0,2
GFive Ultra pro,,"Rs  3,099",4.5,6
Calme Music 300,,"Rs  3,149",,
Calme 4G Edge,"Rs  9,500","Rs  9,149",,
Memobile iSmart Gold,,"Rs  3,699",,
Memobile Platinum,"Rs  3,999","Rs  3,749",,
Villaon V30,"Rs  13,999","Rs  12,899",4.7,13
Samsung Galaxy A04s,"Rs  43,999","Rs  31,999",4.9,210
Apple iPhone 16,"Rs  369,000","Rs  349,999",4.0,1
Calme 4G king,"Rs  9,999","Rs  9,499",5.0,1
Calme 4G king,"Rs  9,999","Rs  9,499",5.0,1
Calme 4G Spark,"Rs  9,950","Rs  9,499",4.6,4
Calme battery ka pehlwan,,"Rs  3,524",5.0,3
calme C661,,"Rs  2,999",,
me Mobile Power 4,"Rs  3,299","Rs  3,199",5.0,1
Memobile Dj Power,"Rs  3,599","Rs  3,499",5.0,2
GRESSO Jugnu,,"Rs  2,799",4.5,2
E-Tachi Mega Music,"Rs  3,999","Rs  3,749",5.0,1
E-Tachi iPro,,"Rs  4,999",5.0,14
E-tachi iPro Fold,"Rs  5,099","Rs  4,849",5.0,2
Club Mobile 15 pro Metal,"Rs  3,199","Rs  3,099",,
Faywa Smart Max,"Rs  3,999","Rs  3,249",4.8,3
Sparx Neo 6 Plus,"Rs  19,499","Rs  18,100",5.0,1
Sparx Note 20,"Rs  37,999","Rs  34,799",4.8,33
Honor 90 Lite,"Rs  89,999","Rs  83,999",5.0,2
Qmobile Q Galaxy,,"Rs  5,599",,
KXD Classic core A06,"Rs  22,500","Rs  17,549",5.0,2
Hello Tech E7,,"Rs  2,550",,
Infinix Note 40 Pro,"Rs  79,999","Rs  69,999",4.9,39
Xiaomi 14T,"Rs  175,999","Rs  155,999",4.7,6
VGO TEL S9,,"Rs  4,049",5.0,1
VGO TEL S22,,"Rs  4,399",,
calme CL 888,,"Rs  3,049",4.0,1
Calme 4g Cloud,"Rs  5,300","Rs  5,299",5.0,1
XMobile X2 Play,,"Rs  2,699",,
Qmobile Spark 4000,,"Rs  3,899",5.0,3
KXD Classic Core A09,"Rs  22,500","Rs  20,399",,
Oppo A3x,"Rs  34,999","Rs  31,899",5.0,7
Realme C51,"Rs  28,999","Rs  24,999",4.9,243
Tecno Camon 30 Premier 5G,"Rs  158,999","Rs  144,999",5.0,4
GFive Music 200,,"Rs  2,399",4.8,9
GFive Power Bank,"Rs  3,549","Rs  3,499",5.0,2
Calme C251 Lite,,"Rs  2,699",,
Memobile Plantinum 2,"Rs  3,799","Rs  3,699",,
XMobile Music Master,,"Rs  3,699",,
FAYWA F111,,"Rs  2,449",5.0,1
Honor X5 Plus,"Rs  28,499","Rs  24,499",4.8,10
GFive Power Bank,"Rs  3,549","Rs  3,499",5.0,2
Calme C251 Lite,,"Rs  2,699",,
Calme Ultra Pro X,,"Rs  3,349",,
Memobile Plantinum 2,"Rs  3,799","Rs  3,699",,
XMobile Music Master,,"Rs  3,699",,
FAYWA F111,,"Rs  2,449",5.0,1
KXD Classic Core A09,"Rs  22,500","Rs  20,399",,
Infinix Smart 9,"Rs  28,999","Rs  26,900",5.0,2
Oppo A78,"Rs  64,999","Rs  58,299",4.9,29
Dcode Cygnal 4 Lite,"Rs  23,999","Rs  19,899",,
itel Muzik 400,,"Rs  4,699",4.9,46
Gfive Music 500,"Rs  3,399","Rs  3,199",,
Calme C251,"Rs  3,399","Rs  2,799",,
Calme iMax,,"Rs  2,999",5.0,3
Calme 4G LITE,,"Rs  7,199",,
Calme Four Sim,,"Rs  3,549",,
Calme 4G Music,,"Rs  5,399",5.0,3
Calme Power light,,"Rs  3,099",,
Memobile XL 4000,"Rs  3,299","Rs  3,199",,
GRESSO E3100,"Rs  2,799","Rs  2,549",4.9,7
FAYWA J3 Slim,"Rs  3,999","Rs  2,999",5.0,3
HONOR X9b,"Rs  129,999","Rs  108,999",5.0,1
KXD Classic core A07,"Rs  22,900","Rs  18,999",5.0,5
KXD Classic Core A10,"Rs  24,499","Rs  22,499",,
QMobile QStar Max,,"Rs  4,099",4.9,9
Nokia 110 2023,"Rs  6,899","Rs  5,999",5.0,1
Oppo A54,"Rs  59,999","Rs  38,499",4.9,107
E-Tachi Music E10,,"Rs  3,899",5.0,1
E-Tachi B2 Pro,"Rs  2,999","Rs  2,949",,
Spice S5026,,"Rs  2,999",,
Club Mobile Maula Jutt,"Rs  3,299","Rs  3,249",5.0,3
FAYWA F14 Pro (4 Sim),"Rs  4,099","Rs  3,199",5.0,9
Faywa F110,"Rs  2,385","Rs  2,149",4.2,6
Gfive Baadshah,,"Rs  3,349",,
GFive Soldier,,"Rs  3,249",3.3,3
Memobile E100,"Rs  2,399","Rs  2,199",,
Realme C65,"Rs  44,999","Rs  39,599",5.0,3
Sparx Neo 5 Plus,"Rs  19,499","Rs  18,299",4.8,34
Sparx ultra 8 pro,"Rs  35,993","Rs  31,399",3.9,6
Villaon V220,,"Rs  2,999",,
Hello Tech E5,,"Rs  2,550",,
Hello Tech G2 Lite,,"Rs  2,499",,
Nokia C31,"Rs  33,999","Rs  23,999",4.9,35
GFive Rocky,,"Rs  2,999",4.7,9
GFive iMaxx,,"Rs  2,949",4.0,1
Calme C108,,"Rs  2,599",,
Digit Next Ultra,"Rs  23,000","Rs  18,299",,
ZTE Nubia Focus 5g,"Rs  44,999","Rs  41,999",,
me Mobile I251,,"Rs  2,799",5.0,3
GRACE 9,"Rs  25,999","Rs  24,799",5.0,1
Memobile iPower pro,,"Rs  2,749",5.0,1
GRESSO 4sim,,"Rs  3,500",,
Dcode Cygnal 2 Pro,"Rs  29,999","Rs  16,399",4.9,88
Dcode Bold 3,"Rs  39,999","Rs  29,599",4.7,48
XMobile Champion,,"Rs  3,599",,
XMobile Dabang Plus,,"Rs  3,849",,
XMobile X1000 Music,,"Rs  3,999",,
XMobile X4i,,"Rs  3,799",,
XMobile Disco Plus,,"Rs  3,899",,
Xmobile X6,,"Rs  3,899",,
Xmobile Boom I,"Rs  3,799","Rs  3,599",5.0,1
E-Tachi E40i,"Rs  3,799","Rs  3,699",5.0,3
E-Tachi Mega Music Pro,"Rs  3,825","Rs  3,549",,
Club Mobile A1000 plus,"Rs  3,299","Rs  3,149",,
Faywa F7,"Rs  2,399","Rs  2,149",,
FAYWA Prime 3,"Rs  2,449","Rs  2,149",3.6,4
Villaon Pock 1,,"Rs  3,049",4.8,6
Hello Tech S1,,"Rs  2,299",,
Hello Tech E500,,"Rs  2,599",,
Hello Tech G3,,"Rs  2,599",,
Hello Tech G8,,"Rs  3,050",,
Hello Tech G3,,"Rs  2,599",,
Hello Tech G8,,"Rs  3,050",,
Qmobile E 2000 Music,,"Rs  3,899",5.0,2
Samsung Galaxy Z Fold 4,"Rs  539,999","Rs  341,999",4.9,27
Apple iPhone 11,"Rs  207,999","Rs  138,999",4.7,151
Vivo V40,"Rs  139,999","Rs  125,499",5.0,8
Tecno Phantom V Flip,"Rs  199,999","Rs  159,999",,
GFive Big Falak,,"Rs  3,149",5.0,1
Calme 4g Star,"Rs  8,000","Rs  7,499",4.9,9
CALME 4G Power,"Rs  9,800","Rs  9,399",5.0,3
Calme C5310,,"Rs  2,399",,
Calme C107,,"Rs  2,599",,
Calme C17,,"Rs  2,399",,
ZTE Nubia Focus Pro 5G,"Rs  57,999","Rs  53,999",3.7,3
me Mobile Magic Power,"Rs  2,999","Rs  2,699",5.0,4
Memobile Hungama Shine,"Rs  3,399","Rs  3,199",,
Itel A26,"Rs  22,399","Rs  16,399",4.9,18
Itel Power 700 Core,"Rs  4,349","Rs  3,999",4.9,17
