name,actual price,current price,rating,reviews
Jazz Digit Music 4G,,"Rs  7,499",5.0,1
GFive G251,,"Rs  3,499",,
GFive Rose,,"Rs  3,299",,
GFive Gold,,"Rs  2,049",4.9,6
GFive Don,,"Rs  2,849",5.0,4
GFive 6700 4G,,"Rs  7,199",4.8,7
GFive Prime,,"Rs  2,199",5.0,2
GFive Guru,,"Rs  2,399",5.0,2
GFive Music 300,,"Rs  2,399",3.0,3
Calme 4G Smart,,"Rs  9,599",5.0,5
Calme M116,,"Rs  2,799",,
Digit Play 1,,"Rs  13,399",4.8,33
ZTE Blade A31 Plus,,"Rs  12,299",4.8,15
ZTE Blade A51,,"Rs  13,300",4.9,22
ZTE Nubia Neo 2 5G,,"Rs  51,299",4.9,16
me Mobile M-1110,,"Rs  2,299",5.0,1
me Mobile L788,,"Rs  2,599",5.0,1
Itel SG600,,"Rs  3,399",4.8,3
E-Tachi E5310,,"Rs  3,749",,
E-Tachi B222 lite,,"Rs  2,999",,
E-Tachi B222,,"Rs  2,999",,
E-Tachi Magic E4,,"Rs  3,299",,
FAYWA Magic 1,,"Rs  2,575",,
Sparx Ultra 11,,"Rs  27,099",4.4,7
Villaon V210,,"Rs  2,399",,
Qmobile E1000 Party 2021,,"Rs  3,549",,
Qmobile Q150s,,"Rs  2,749",4.6,7
QMobile QStar,,"Rs  3,149",5.0,3
QMobile E990i Sirocco,,"Rs  3,599",4.8,5
Qmobile Classic,,"Rs  2,699",4.0,1
Qmobile QSpark,,"Rs  2,699",,
Qmobile Qicon,,"Rs  2,499",,
Nokia 230 Dual SIM,,"Rs  12,499",4.1,7
Nokia 110 (2019),,"Rs  6,999",4.9,25
Nokia G21,,"Rs  24,699",4.8,202
Nokia C21,,"Rs  15,499",4.8,59
Nokia 105 Plus,,"Rs  5,499",4.9,60
Oppo Reno 12 5G,,"Rs  141,999",5.0,1
Samsung Galaxy Z Flip 4,,"Rs  204,999",4.9,14
Apple iPhone 14 Plus,,"Rs  420,999",,
Apple iPhone 15,,"Rs  321,999",5.0,1
Apple iPhone 15 Pro Max,,"Rs  459,499",5.0,12
Infinix Smart 6,,"Rs  18,799",4.9,89
Infinix Zero 30 5G,,"Rs  94,499",4.9,18
Infinix Zero 30 4G,,"Rs  64,999",4.9,225
Infinix Hot 40,,"Rs  32,899",4.9,195
Infinix Smart 8 Pro,,"Rs  24,999",4.9,92
Tecno Spark Go 2023,,"Rs  20,999",4.9,65
Tecno Spark 10C,,"Rs  24,899",4.9,111
Tecno Pova 5 Pro,,"Rs  42,999",4.9,123
Motorola Moto G84 5G,,"Rs  66,999",4.9,44
Dcode Cygnal,,"Rs  21,499",4.9,7
Dcode Bold 3 Pro,,"Rs  41,499",4.8,70
VGO TEL New 7,,"Rs  6,299",4.9,37
VGO TEL NEW 20,,"Rs  18,299",4.8,15
VGO-TEL NEW 10,,"Rs  13,399",4.7,12
Gfive G4 Play,,"Rs  3,199",,
GFive Dhoom,,"Rs  2,149",5.0,1
GFive magic pro,,"Rs  3,149",5.0,1
GFive ultra smart,,"Rs  2,999",5.0,5
Calme i14 Max,,"Rs  4,099",4.5,2
Calme C12,,"Rs  2,399",,
Jazz Digit Shine 4G,,"Rs  7,599",5.0,6
Digit E4 Pro 4G,,"Rs  9,699",5.0,7
ZTE Blade V30 Vita,,"Rs  19,499",4.9,88
me Mobile L108,,"Rs  2,799",5.0,1
me Mobile Magic Sound,,"Rs  2,699",5.0,1
me Mobile Magic Star Pro,,"Rs  2,699",,
me Mobile M6310,,"Rs  2,749",4.4,3
Gresso Rock star,,"Rs  4,199",,
VNUS Sky 1,,"Rs  11,099",4.8,30
OUKITEL C32,,"Rs  25,899",,
XMobile SL100 Plus Lite,,"Rs  3,999",5.0,3
E-Tachi B105,,"Rs  2,599",5.0,4
E-Tachi E200,,"Rs  3,799",5.0,2
E-Tachi E444,,"Rs  3,749",,
E-Tachi iPro Max,,"Rs  4,799",5.0,2
E-TACHI B01,,"Rs  2,649",,
Club Mobile Ali Baba,,"Rs  2,699",,
FAYWA Eagle 2 (4 SIM),,"Rs  2,899",4.8,32
Villaon V110,,"Rs  2,099",4.0,1
Apple iPhone 14 Pro Max,,"Rs  499,999",5.0,6
Infinix Hot 30 Play,,"Rs  23,499",4.9,135
Infinix Note 30 Pro,,"Rs  45,999",4.9,221
Infinix Hot 40i,,"Rs  29,599",4.9,180
QMobile Gabbar,,"Rs  3,799",5.0,2
Qmobile Music Ka Sultan Pro,,"Rs  3,999",5.0,2
QMobile Q130 classic,,"Rs  2,465",,
Qmobile Qneo,,"Rs  2,649",,
Qmobile Qplay,,"Rs  2,449",,
Nokia 6310 (2021),,"Rs  10,599",4.9,12
Nokia 130 (2024),,"Rs  6,699",4.4,16
Xiaomi Redmi Note 12,,"Rs  44,999",4.9,692
Motorola Moto G23,,"Rs  32,999",4.9,67
GFive G550 Power,,"Rs  3,299",4.8,11
GFive Boss,,"Rs  3,099",,
Gfive Fire,,"Rs  3,199",4.0,2
Gfive Pro Max,,"Rs  3,299",5.0,5
Calme 4G Prime,,"Rs  10,049",,
Calme D105,,"Rs  2,299",,
ZTE Blade A52,,"Rs  15,999",4.9,118
ZTE Blade A53 Pro,,"Rs  15,999",4.9,37
ZTE Blade V50 Design,,"Rs  27,999",4.8,32
me Mobile M-1110 Lite,,"Rs  2,425",4.8,8
me Mobile Magic Max,,"Rs  2,799",5.0,2
Memobile M110,,"Rs  2,299",,
VNUS Rock 1,,"Rs  10,099",4.3,5
Tecno Pova Neo 2,,"Rs  36,499",5.0,34
Tecno Spark Go 2024,,"Rs  18,999",4.9,106
Tecno Spark 20 Pro Plus,,"Rs  54,499",4.8,136
Tecno Phantom V Fold 2 5G,,"Rs  369,999",,
Dcode Cygnal 3,,"Rs  18,899",4.8,11
VGO TEL i101,,"Rs  2,199",4.8,38
VGO TEL i888,,"Rs  5,099",5.0,2
VGO TEL i252,,"Rs  3,999",4.5,2
VGO-TEL Easy 200,,"Rs  2,549",4.0,1
VGO TEL i510,,"Rs  3,499",,
VGO Tel Smart 8,,"Rs  17,599",4.8,5
Itel Power 450,,"Rs  3,899",,
itel P65,,"Rs  27,999",5.0,2
E-Tachi 4 Star,,"Rs  4,199",,
E-Tachi E7i,,"Rs  3,799",,
E-tachi E4 Hero,,"Rs  2,999",,
E-tachi Ipro 4g,,"Rs  7,099",,
E-tachi Seven Star,,"Rs  4,199",,
Club Mobile Muzik 4,,"Rs  3,699",4.0,1
Club Mobile Ali Baba 1,,"Rs  2,699",,
Club Mobile Music 110,,"Rs  2,399",5.0,1
FAYWA Magic Power,,"Rs  2,099",,
Gionee Q23,,"Rs  3,299",,
Qmobile E1000 Party V2,,"Rs  3,349",,
Nokia 150 (2020),,"Rs  9,499",5.0,19
Nokia 110 4G,,"Rs  5,999",4.7,6
Nokia 150 (2023),,"Rs  7,899",4.9,30
Samsung Galaxy A53 5G,,"Rs  92,999",4.9,151
Infinix Hot 12,,"Rs  23,299",4.9,205
Infinix Hot 12 Play,,"Rs  28,299",4.9,205
Xiaomi Redmi Note 12S,,"Rs  69,499",5.0,6
Vivo V30e,,"Rs  95,999",5.0,16
Tecno Camon 18 Premier,,"Rs  74,999",4.9,44
Tecno Camon 18P,,"Rs  45,499",4.9,105
Tecno Camon 19 Pro,,"Rs  49,999",4.7,11
Tecno Camon 20,,"Rs  41,999",4.9,197
itel Muzik 410,,"Rs  4,099",,
itel Value 110s,,"Rs  2,549",4.9,170
Itel Magic 3,,"Rs  5,499",4.9,14
Itel A49,,"Rs  15,899",4.9,48
Dcode X,,"Rs  46,199",5.0,16
VGO TEL i261,,"Rs  3,349",1.0,1
VGO TEL Beauty,,"Rs  2,999",5.0,3
GFive Champ,,"Rs  3,599",,
Gresso G105,,"Rs  2,400",,
XMobile X2 Selfie,,"Rs  2,899",5.0,3
XMobile X7,,"Rs  4,099",,
Xmobile X50,,"Rs  3,799",,
E-tachi iPro Plus,,"Rs  4,199",,
E-tachi E215 classic,,"Rs  3,599",,
Club Mobile A9 Victory,,"Rs  3,099",5.0,2
Club Mobile A95 Plus,,"Rs  3,599",,
